champion,games,winrate,avg_kda
Sylas,109,44.95,3.74
Nautilus,103,51.46,2.98
Ezreal,94,51.06,3.65
Yasuo,92,45.65,2.56
Senna,89,46.07,4.03
Locke,89,44.94,3.47
Bard,79,50.63,4.16
Camille,74,47.3,2.93
Syndra,72,59.72,3.5
LeeSin,71,43.66,4.54
Caitlyn,70,47.14,2.96
Jayce,69,57.97,3.23
Jhin,65,47.69,4.11
Naafiri,64,45.31,3.89
Ahri,64,46.88,5.19
Yone,63,47.62,2.61
Tristana,63,38.1,2.69
Seraphine,63,44.44,3.34
Pantheon,63,42.86,4.13
Akali,62,58.06,4.13
Kaisa,59,45.76,3.46
Graves,58,51.72,4.2
Karma,57,57.89,4.41
Vayne,56,55.36,2.42
Ambessa,56,32.14,2.68
JarvanIV,55,58.18,6.38
Hwei,55,50.91,3.09
Rell,53,54.72,4.47
Alistar,51,68.63,5.42
Thresh,50,52.0,4.84
Rakan,50,52.0,5.04
MonkeyKing,50,54.0,4.51
Riven,49,57.14,3.46
Lulu,49,38.78,3.42
Ekko,48,66.67,4.92
Varus,47,46.81,2.84
Sion,47,36.17,2.35
Mel,47,44.68,4.26
Irelia,47,53.19,1.87
Zeri,45,55.56,3.23
Vladimir,45,60.0,4.1
Kalista,45,48.89,3.49
Jinx,45,62.22,3.11
Khazix,44,56.82,5.04
Singed,42,42.86,2.62
Cassiopeia,42,59.52,3.41
Anivia,42,57.14,3.91
Aatrox,42,52.38,3.49
TwistedFate,40,55.0,2.85
Qiyana,40,47.5,4.24
Nidalee,40,35.0,3.42
Katarina,40,65.0,3.58
Viktor,39,48.72,3.16
Pyke,39,43.59,2.72
Zed,38,39.47,2.44
Renekton,38,44.74,2.7
Ornn,38,47.37,3.91
Malphite,38,36.84,3.55
Janna,37,48.65,5.17
Taliyah,36,52.78,3.54
Aurora,36,30.56,4.16
Leona,35,54.29,3.84
Ashe,35,65.71,3.42
Velkoz,34,52.94,4.92
RekSai,34,73.53,7.56
Diana,34,52.94,5.02
Sivir,33,42.42,3.81
Shaco,32,56.25,4.88
Poppy,32,43.75,2.79
Gnar,32,43.75,2.43
Fiora,32,71.88,2.31
Draven,32,40.63,2.43
Blitzcrank,32,50.0,4.29
Zoe,31,38.71,3.05
XinZhao,31,45.16,3.61
Viego,31,54.84,3.54
Olaf,31,54.84,2.95
Karthus,31,41.94,3.49
Lux,30,53.33,4.12
Kennen,30,70.0,4.27
Garen,30,43.33,2.47
Galio,30,46.67,4.51
Nocturne,29,62.07,5.26
KSante,29,55.17,4.0
Jax,28,42.86,2.64
Elise,28,50.0,4.81
Orianna,27,44.44,3.12
Hecarim,27,59.26,4.59
Ryze,26,38.46,2.7
Darius,26,61.54,3.79
Akshan,26,53.85,4.1
Talon,25,44.0,4.57
DrMundo,25,36.0,3.01
Zilean,24,54.17,4.53
Leblanc,24,50.0,3.71
Yunara,23,47.83,2.98
Rumble,23,56.52,2.83
Gragas,23,52.17,3.42
AurelionSol,23,60.87,7.1
Twitch,22,68.18,2.8
Skarner,22,50.0,5.76
Gangplank,22,36.36,3.49
Annie,22,45.45,2.78
Neeko,21,33.33,2.46
Lucian,21,61.9,3.26
Braum,21,33.33,2.85
Vi,20,50.0,5.0
Soraka,20,40.0,3.25
Shen,20,60.0,2.91
Samira,20,55.0,2.29
Rengar,20,55.0,3.82
Aphelios,20,40.0,3.58
Ziggs,19,47.37,3.99
Zaahen,19,36.84,1.9
Xayah,19,63.16,3.53
Trundle,19,73.68,3.62
Nunu,19,42.11,3.64
Chogath,19,52.63,2.59
Taric,18,72.22,6.88
Swain,18,44.44,3.12
MissFortune,18,44.44,2.75
Lissandra,18,61.11,3.52
Udyr,17,52.94,5.39
Tryndamere,17,52.94,3.59
Sona,17,47.06,3.76
Quinn,17,41.18,1.94
Nami,17,64.71,5.0
Maokai,17,70.59,4.93
Kassadin,17,52.94,3.69
Belveth,17,41.18,3.37
MasterYi,16,43.75,2.08
KogMaw,16,31.25,2.96
Kindred,16,37.5,3.07
Ivern,16,56.25,7.36
Zyra,15,26.67,2.41
Shyvana,15,60.0,8.28
Sett,15,46.67,3.02
Nasus,15,33.33,4.4
Teemo,14,50.0,2.11
Heimerdinger,14,50.0,3.33
Gwen,14,42.86,1.66
FiddleSticks,14,42.86,2.76
Briar,14,35.71,1.88
Brand,14,57.14,2.54
TahmKench,13,38.46,2.83
Fizz,13,46.15,2.38
Lillia,12,50.0,4.79
Xerath,11,45.45,3.26
Renata,11,45.45,3.23
Milio,11,63.64,7.64
Morgana,10,50.0,4.42
Kayn,10,40.0,2.69
Corki,10,60.0,2.13
